MS46122B
!2032304/20262023
!4/29/2022.3:41:18.AM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION.OFF
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
114	11.300435000	-7.013738E+000	11.300435000	-8.818127E+001	11.300435000	-8.647697E+001	11.300435000	4.585429E-002
115	11.400430000	-7.487891E+000	11.400430000	-8.658598E+001	11.400430000	-1.054153E+002	11.400430000	4.874925E-002
116	11.500425000	-7.958886E+000	11.500425000	-8.948864E+001	11.500425000	-9.520995E+001	11.500425000	5.668884E-002
117	11.600420000	-8.778015E+000	11.600420000	-9.103902E+001	11.600420000	-9.355037E+001	11.600420000	6.055951E-002
118	11.700415000	-9.540392E+000	11.700415000	-9.061268E+001	11.700415000	-8.954576E+001	11.700415000	6.002902E-002
119	11.800410000	-1.001256E+001	11.800410000	-9.499368E+001	11.800410000	-1.000094E+002	11.800410000	6.647735E-002
120	11.900405000	-9.995548E+000	11.900405000	-1.015478E+002	11.900405000	-1.074534E+002	11.900405000	7.399732E-002
121	12.000400000	-1.007175E+001	12.000400000	-9.314641E+001	12.000400000	-1.048847E+002	12.000400000	7.207246E-002
122	12.100395000	-1.028984E+001	12.100395000	-1.028774E+002	12.100395000	-9.067262E+001	12.100395000	6.906307E-002
123	12.200390000	-1.106980E+001	12.200390000	-9.434766E+001	12.200390000	-9.764413E+001	12.200390000	6.198882E-002
124	12.300385000	-1.204891E+001	12.300385000	-9.242009E+001	12.300385000	-8.787820E+001	12.300385000	6.912474E-002
125	12.400380000	-1.337201E+001	12.400380000	-9.196008E+001	12.400380000	-9.498638E+001	12.400380000	7.875767E-002
126	12.500375000	-1.523572E+001	12.500375000	-9.256260E+001	12.500375000	-9.302639E+001	12.500375000	6.113895E-002
127	12.600370000	-1.760624E+001	12.600370000	-9.166881E+001	12.600370000	-9.517082E+001	12.600370000	5.289399E-002
128	12.700365000	-1.991889E+001	12.700365000	-9.593938E+001	12.700365000	-8.958728E+001	12.700365000	6.350286E-002
129	12.800360000	-2.255151E+001	12.800360000	-9.033006E+001	12.800360000	-9.223180E+001	12.800360000	5.811125E-002
130	12.900355000	-2.127275E+001	12.900355000	-9.603433E+001	12.900355000	-9.517673E+001	12.900355000	6.835882E-002
131	13.000350000	-1.828126E+001	13.000350000	-1.019042E+002	13.000350000	-9.305500E+001	13.000350000	5.851939E-002
132	13.100345000	-1.628775E+001	13.100345000	-1.046087E+002	13.100345000	-9.948234E+001	13.100345000	5.143355E-002
133	13.200340000	-1.430298E+001	13.200340000	-9.007930E+001	13.200340000	-9.025877E+001	13.200340000	5.120996E-002
134	13.300335000	-1.298412E+001	13.300335000	-1.024354E+002	13.300335000	-9.779267E+001	13.300335000	5.729434E-002
135	13.400330000	-1.210870E+001	13.400330000	-8.658097E+001	13.400330000	-9.434491E+001	13.400330000	6.061364E-002
136	13.500325000	-1.135338E+001	13.500325000	-8.852744E+001	13.500325000	-8.750927E+001	13.500325000	6.194340E-002
137	13.600320000	-1.096855E+001	13.600320000	-8.674651E+001	13.600320000	-9.175742E+001	13.600320000	7.315031E-002
138	13.700315000	-1.063797E+001	13.700315000	-9.046136E+001	13.700315000	-8.721797E+001	13.700315000	7.639189E-002
139	13.800310000	-1.044160E+001	13.800310000	-8.240430E+001	13.800310000	-8.525066E+001	13.800310000	7.920557E-002
140	13.900305000	-1.060128E+001	13.900305000	-8.120072E+001	13.900305000	-8.182790E+001	13.900305000	7.903577E-002
141	14.000300000	-1.085437E+001	14.000300000	-8.263085E+001	14.000300000	-8.459075E+001	14.000300000	7.966257E-002
142	14.100295000	-1.098807E+001	14.100295000	-8.209636E+001	14.100295000	-8.219435E+001	14.100295000	7.421414E-002
143	14.200290000	-1.186688E+001	14.200290000	-8.114508E+001	14.200290000	-8.025501E+001	14.200290000	6.887199E-002
144	14.300285000	-1.245927E+001	14.300285000	-7.959981E+001	14.300285000	-7.956419E+001	14.300285000	6.666344E-002
145	14.400280000	-1.362913E+001	14.400280000	-8.232887E+001	14.400280000	-8.228923E+001	14.400280000	7.749815E-002
146	14.500275000	-1.448740E+001	14.500275000	-8.493266E+001	14.500275000	-8.315878E+001	14.500275000	8.133762E-002
147	14.600270000	-1.608920E+001	14.600270000	-7.972572E+001	14.600270000	-7.802133E+001	14.600270000	6.483531E-002
148	14.700265000	-1.689424E+001	14.700265000	-7.923206E+001	14.700265000	-7.970528E+001	14.700265000	6.290793E-002
149	14.800260000	-1.716259E+001	14.800260000	-7.935068E+001	14.800260000	-7.947844E+001	14.800260000	5.862921E-002
150	14.900255000	-1.674098E+001	14.900255000	-7.639400E+001	14.900255000	-7.702845E+001	14.900255000	5.844379E-002
151	15.000250000	-1.552197E+001	15.000250000	-7.933163E+001	15.000250000	-7.964090E+001	15.000250000	5.256870E-002
152	15.100245000	-1.453810E+001	15.100245000	-8.408553E+001	15.100245000	-8.246613E+001	15.100245000	4.782561E-002
153	15.200240000	-1.405434E+001	15.200240000	-8.007668E+001	15.200240000	-7.960390E+001	15.200240000	5.974154E-002
154	15.300235000	-1.298895E+001	15.300235000	-7.997085E+001	15.300235000	-7.949802E+001	15.300235000	4.900163E-002
155	15.400230000	-1.214508E+001	15.400230000	-8.602538E+001	15.400230000	-8.424104E+001	15.400230000	3.291169E-002
156	15.500225000	-1.161888E+001	15.500225000	-8.641089E+001	15.500225000	-8.252784E+001	15.500225000	3.912384E-002
157	15.600220000	-1.098179E+001	15.600220000	-8.010223E+001	15.600220000	-7.936723E+001	15.600220000	3.307918E-002
158	15.700215000	-1.062442E+001	15.700215000	-8.311062E+001	15.700215000	-8.185909E+001	15.700215000	3.100914E-002
159	15.800210000	-1.010263E+001	15.800210000	-8.352769E+001	15.800210000	-8.690250E+001	15.800210000	3.025910E-002
160	15.900205000	-9.487090E+000	15.900205000	-8.245111E+001	15.900205000	-8.150464E+001	15.900205000	2.376084E-002
161	16.000200000	-9.165668E+000	16.000200000	-7.867206E+001	16.000200000	-7.985685E+001	16.000200000	2.608600E-002
